,N_I,N_V,Name,Nobs,OGLE period,Outliers1,Outliers3,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
0,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,0.030303030303030304,0.0,0.4733975530637482,16.454545454545453,0.44837928125561755,0.5115034212353413,0.11440676461191511,0.7325705025375876,0.06527784624432761,0.37499267718161716,-0.06323361194065488,0.001
1,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.42,0.26,0.6285643168256728,22.49,3.9384731550943515e-05,0.7325293686788332,0.1840613389368602,0.732571162789237,0.03517044870333631,0.24869262775502723,0.07141979309337983,0.001
2,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.5833333333333334,0.16666666666666666,0.6798757667924329,30.5,1.8710873980500925e-05,0.732505002945483,0.7324822841787397,0.7325429774589441,0.02951172146964119,0.17707032881784715,0.03325279579151553,0.001
3,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.001
4,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,0.25,0.21875,0.5536550649482118,16.28125,0.08839808544109848,0.1419963443486719,0.111533354376523,0.7324539840972851,0.297634437598851,1.683674633126335,2.9078226925243147,0.004
5,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.38,0.0,0.5062140367415237,22.22,0.43855639855164513,0.7324779314583216,0.12559113165413338,0.7325543006578801,0.041371392152461745,0.29253991938133617,-0.057268352315169246,0.004
6,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.25,0.25,0.5768394629926763,30.5,0.112445208442357,0.7325182298261634,0.11647070618446873,0.7325562734198168,0.045594399659403186,0.2735663979564191,0.0843516783516986,0.004
7,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.004
8,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,0.4117647058823529,0.058823529411764705,0.8192672393890732,16.455882352941178,0.44800370766423364,0.27478443838469147,0.1129002924066502,0.7325540503211438,0.31553678550657926,1.8398798173429836,3.381348477766902,0.02
9,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.34,0.0,0.5237065460973189,22.43,0.4468564747579762,0.7324862277854269,0.12266510722272822,0.7325430586675592,0.04157940237205003,0.294010773749606,-0.07137826516811291,0.02
10,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.3333333333333333,0.0,0.7325195561288479,30.5,4.4081288895686664e-05,0.7325299671456247,0.7324759741745871,0.7325543006578801,6.692060999073438e-06,4.015236599444063e-05,-2.673419458378311e-10,0.02
11,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.02
12,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,0.25806451612903225,0.06451612903225806,0.6121696089004023,16.322580645161292,0.3068330076727907,0.14205984919963166,0.11434568780329296,0.7325302656740884,0.31750274917138394,1.7677804919369906,3.1510965635099883,0.089
13,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.32,0.2,0.6139211560534714,22.38,6.555257723510444e-05,0.7325078517214225,0.12377200917259744,0.7325523705538594,0.0344203161622545,0.24338838968915077,0.07211595016307125,0.089
14,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.25,0.25,0.5805177784644592,30.5,0.10723021085835643,0.7325348088868533,0.13661225753601888,0.7325922400968227,0.044542268050303445,0.26725360830182066,0.08105133692499338,0.089
15,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.089
16,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,0.3125,0.0,0.3640451646056182,15.859375,0.4463142477844787,0.16722297214858223,0.12631131771789583,0.7325471223456591,0.05609625405213055,0.3173283331153989,-0.06290695105271413,0.4
17,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.27450980392156865,0.0,0.5624882436444258,22.392156862745097,0.4333076052604685,0.7325368300496111,0.11302583310089165,0.7325975519318761,0.03911772868906529,0.2793564597201171,-0.08232912414859413,0.4
18,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.3333333333333333,0.16666666666666666,0.6318859293289764,30.5,4.6222140373495805e-05,0.7325300230077877,0.5016450390459782,0.7325570435429264,0.03808648733748341,0.22851892402490048,0.0608995495757331,0.4
19,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.4
20,119.0,119.0,OGLE-BLG-RRLYR-00002,"(10.0, 20.0]",0.30153381,0.27906976744186046,0.2558139534883721,0.26973928373376704,17.046511627906977,0.022274120986425058,0.3015288562547685,0.11205599745079198,0.30153191764435433,0.019483774895434822,0.1277636560981525,0.016458374790741102,0.001
21,119.0,119.0,OGLE-BLG-RRLYR-00002,"(20.0, 30.0]",0.30153381,0.2777777777777778,0.24074074074074073,0.25971399233249626,24.435185185185187,4.826131269226635e-06,0.3015295838562687,0.15085218792686744,0.3015310524035839,0.01034057651126683,0.07598740829643828,0.007415702368215693,0.001
22,119.0,119.0,OGLE-BLG-RRLYR-00002,"(30.0, 50.0]",0.30153381,0.3181818181818182,0.09090909090909091,0.2870828430376194,30.5,3.284041432172235e-06,0.30153041423291305,0.3015247739243223,0.3015308524140401,0.00996888806024476,0.046758229665687635,0.0022956856149696525,0.001
