,N,Filter,phase,mag,kind,phase bin
0,5,I,0.0,13.952545861815938,fast,0.0245
1,5,I,0.001001001001001001,13.94844111890137,fast,0.0245
2,5,I,0.002002002002002002,13.944309222408426,fast,0.0245
3,5,I,0.0030030030030030025,13.940150335784038,fast,0.0245
4,5,I,0.004004004004004004,13.935964623542791,fast,0.0245
5,5,I,0.005005005005005004,13.931752251260422,fast,0.0245
6,5,I,0.006006006006006005,13.92751338556727,fast,0.0245
7,5,I,0.007007007007007007,13.92324819414168,fast,0.0245
8,5,I,0.008008008008008008,13.918956845703377,fast,0.0245
9,5,I,0.009009009009009007,13.914639510006786,fast,0.0245
10,5,I,0.010010010010010008,13.910296357834325,fast,0.0245
11,5,I,0.011011011011011011,13.905927560989635,fast,0.0245
12,5,I,0.01201201201201201,13.9015332922908,fast,0.0245
13,5,I,0.013013013013013011,13.8971137255635,fast,0.0245
14,5,I,0.014014014014014014,13.892669035634137,fast,0.0245
15,5,I,0.015015015015015013,13.888199398322923,fast,0.0245
16,5,I,0.016016016016016016,13.883704990436922,fast,0.0245
17,5,I,0.017017017017017015,13.879185989763059,fast,0.0245
18,5,I,0.018018018018018014,13.874642575061078,fast,0.0245
19,5,I,0.019019019019019017,13.870074926056486,fast,0.0245
20,5,I,0.020020020020020016,13.865483223433426,fast,0.0245
21,5,I,0.02102102102102102,13.86086764882755,fast,0.0245
22,5,I,0.022022022022022022,13.856228384818813,fast,0.0245
23,5,I,0.02302302302302302,13.851565614924263,fast,0.0245
24,5,I,0.02402402402402402,13.846879523590783,fast,0.0245
25,5,I,0.025025025025025023,13.842170296187781,fast,0.0245
26,5,I,0.026026026026026022,13.83743811899988,fast,0.0245
27,5,I,0.027027027027027025,13.832683179219528,fast,0.0245
28,5,I,0.028028028028028028,13.827905664939598,fast,0.0245
29,5,I,0.029029029029029027,13.823105765145957,fast,0.0245
30,5,I,0.030030030030030026,13.818283669709983,fast,0.0245
31,5,I,0.031031031031031026,13.813439569381051,fast,0.0245
32,5,I,0.03203203203203203,13.808573655778998,fast,0.0245
33,5,I,0.03303303303303303,13.80368612138653,fast,0.0245
34,5,I,0.03403403403403403,13.79877715954162,fast,0.0245
35,5,I,0.03503503503503503,13.79384696442985,fast,0.0245
36,5,I,0.03603603603603603,13.788895731076735,fast,0.0245
37,5,I,0.037037037037037035,13.78392365534001,fast,0.0245
38,5,I,0.038038038038038034,13.778930933901876,fast,0.0245
39,5,I,0.03903903903903904,13.773917764261228,fast,0.0245
40,5,I,0.04004004004004003,13.768884344725834,fast,0.0245
41,5,I,0.04104104104104103,13.763830874404496,fast,0.0245
42,5,I,0.04204204204204204,13.758757553199171,fast,0.0245
43,5,I,0.04304304304304304,13.753664581797068,fast,0.0245
44,5,I,0.044044044044044044,13.748552161662703,fast,0.0245
45,5,I,0.04504504504504504,13.743420495029932,fast,0.0245
46,5,I,0.04604604604604604,13.738269784893953,fast,0.0245
47,5,I,0.04704704704704704,13.733100235003276,fast,0.0245
48,5,I,0.04804804804804804,13.72791204985166,fast,0.0245
49,5,I,0.04904904904904905,13.722705434670026,fast,0.0245
50,5,I,0.050050050050050046,13.717480595418339,fast,0.07500000000000001
51,5,I,0.051051051051051045,13.71223773877746,fast,0.07500000000000001
52,5,I,0.052052052052052045,13.70697707214097,fast,0.07500000000000001
53,5,I,0.05305305305305305,13.701698803606968,fast,0.07500000000000001
54,5,I,0.05405405405405405,13.696403141969835,fast,0.07500000000000001
55,5,I,0.05505505505505505,13.69109029671198,fast,0.07500000000000001
56,5,I,0.056056056056056056,13.68576047799555,fast,0.07500000000000001
57,5,I,0.05705705705705705,13.680413896654116,fast,0.07500000000000001
58,5,I,0.058058058058058054,13.675050764184334,fast,0.07500000000000001
59,5,I,0.05905905905905905,13.66967129273758,fast,0.07500000000000001
60,5,I,0.06006006006006005,13.664275695111558,fast,0.07500000000000001
61,5,I,0.06106106106106106,13.65886418474188,fast,0.07500000000000001
62,5,I,0.06206206206206205,13.653436975693623,fast,0.07500000000000001
63,5,I,0.06306306306306306,13.647994282652864,fast,0.07500000000000001
64,5,I,0.06406406406406406,13.642536320918186,fast,0.07500000000000001
65,5,I,0.06506506506506506,13.63706330639216,fast,0.07500000000000001
66,5,I,0.06606606606606606,13.631575455572804,fast,0.07500000000000001
67,5,I,0.06706706706706705,13.626072985545026,fast,0.07500000000000001
68,5,I,0.06806806806806806,13.620556113972029,fast,0.07500000000000001
69,5,I,0.06906906906906907,13.6150250590867,fast,0.07500000000000001
70,5,I,0.07007007007007006,13.609480039682982,fast,0.07500000000000001
71,5,I,0.07107107107107107,13.60392127510722,fast,0.07500000000000001
72,5,I,0.07207207207207206,13.598348985249482,fast,0.07500000000000001
73,5,I,0.07307307307307306,13.592763390534856,fast,0.07500000000000001
74,5,I,0.07407407407407407,13.587164711914738,fast,0.07500000000000001
75,5,I,0.07507507507507506,13.58155317085809,fast,0.07500000000000001
76,5,I,0.07607607607607607,13.575928989342673,fast,0.07500000000000001
77,5,I,0.07707707707707706,13.570292389846278,fast,0.07500000000000001
78,5,I,0.07807807807807808,13.564643595337914,fast,0.07500000000000001
79,5,I,0.07907907907907907,13.558982829268995,fast,0.07500000000000001
80,5,I,0.08008008008008007,13.553310315564497,fast,0.07500000000000001
81,5,I,0.08108108108108107,13.5476262786141,fast,0.07500000000000001
82,5,I,0.08208208208208206,13.541930943263315,fast,0.07500000000000001
83,5,I,0.08308308308308308,13.536224534804589,fast,0.07500000000000001
84,5,I,0.08408408408408408,13.530507278968392,fast,0.07500000000000001
85,5,I,0.08508508508508508,13.524779401914282,fast,0.07500000000000001
86,5,I,0.08608608608608607,13.519041130221973,fast,0.07500000000000001
87,5,I,0.08708708708708707,13.513292690882357,fast,0.07500000000000001
88,5,I,0.08808808808808809,13.507534311288536,fast,0.07500000000000001
89,5,I,0.08908908908908908,13.501766219226816,fast,0.07500000000000001
90,5,I,0.09009009009009009,13.49598864286771,fast,0.07500000000000001
91,5,I,0.09109109109109108,13.490201810756899,fast,0.07500000000000001
92,5,I,0.09209209209209208,13.484405951806199,fast,0.07500000000000001
93,5,I,0.09309309309309309,13.478601295284506,fast,0.07500000000000001
94,5,I,0.09409409409409408,13.472788070808722,fast,0.07500000000000001
95,5,I,0.09509509509509509,13.466966508334675,fast,0.07500000000000001
96,5,I,0.09609609609609608,13.461136838148025,fast,0.07500000000000001
97,5,I,0.09709709709709709,13.455299290855148,fast,0.07500000000000001
98,5,I,0.0980980980980981,13.44945409737402,fast,0.07500000000000001
99,5,I,0.09909909909909909,13.443601488925077,fast,0.07500000000000001
100,5,I,0.10010010010010009,13.437741697022076,fast,0.125
101,5,I,0.10110110110110108,13.43187495346293,fast,0.125
102,5,I,0.10210210210210209,13.426001490320541,fast,0.125
103,5,I,0.1031031031031031,13.420121539933621,fast,0.125
104,5,I,0.10410410410410409,13.4142353348975,fast,0.125
105,5,I,0.1051051051051051,13.408343108054922,fast,0.125
106,5,I,0.1061061061061061,13.402445092486845,fast,0.125
107,5,I,0.1071071071071071,13.396541521503208,fast,0.125
108,5,I,0.1081081081081081,13.390632628633709,fast,0.125
109,5,I,0.10910910910910909,13.384718647618566,fast,0.125
110,5,I,0.1101101101101101,13.378799812399272,fast,0.125
111,5,I,0.1111111111111111,13.372876357109336,fast,0.125
112,5,I,0.11211211211211211,13.366948516065028,fast,0.125
113,5,I,0.1131131131131131,13.361016523756106,fast,0.125
114,5,I,0.1141141141141141,13.35508061483654,fast,0.125
115,5,I,0.1151151151151151,13.349141024115234,fast,0.125
116,5,I,0.11611611611611611,13.343197986546729,fast,0.125
117,5,I,0.11711711711711711,13.33725173722192,fast,0.125
118,5,I,0.1181181181181181,13.331302511358745,fast,0.125
119,5,I,0.1191191191191191,13.32535054429289,fast,0.125
120,5,I,0.1201201201201201,13.319396071468477,fast,0.125
121,5,I,0.12112112112112111,13.313439328428743,fast,0.125
122,5,I,0.12212212212212212,13.307480550806735,fast,0.125
123,5,I,0.12312312312312311,13.30151997431598,fast,0.125
124,5,I,0.1241241241241241,13.295557834741162,fast,0.125
125,5,I,0.1251251251251251,13.289594367928801,fast,0.125
126,5,I,0.12612612612612611,13.283629809777914,fast,0.125
127,5,I,0.1271271271271271,13.277664396230692,fast,0.125
128,5,I,0.12812812812812813,13.27169836326316,fast,0.125
129,5,I,0.12912912912912913,13.265731946875851,fast,0.125
130,5,I,0.1301301301301301,13.25976538308446,fast,0.125
131,5,I,0.13113113113113112,13.253798907910513,fast,0.125
132,5,I,0.13213213213213212,13.247832757372034,fast,0.125
133,5,I,0.13313313313313313,13.241867167474203,fast,0.125
134,5,I,0.1341341341341341,13.235902374200021,fast,0.125
135,5,I,0.13513513513513511,13.229938613500982,fast,0.125
136,5,I,0.13613613613613612,13.223976121287729,fast,0.125
137,5,I,0.13713713713713713,13.218015133420728,fast,0.125
138,5,I,0.13813813813813813,13.212055885700938,fast,0.125
139,5,I,0.13913913913913914,13.206098613860481,fast,0.125
140,5,I,0.14014014014014012,13.200143553553323,fast,0.125
141,5,I,0.14114114114114112,13.19419094034594,fast,0.125
142,5,I,0.14214214214214213,13.188241009708015,fast,0.125
143,5,I,0.14314314314314314,13.18229399700311,fast,0.125
144,5,I,0.14414414414414412,13.176350137479362,fast,0.125
145,5,I,0.14514514514514512,13.17040966626018,fast,0.125
146,5,I,0.14614614614614613,13.164472818334938,fast,0.125
147,5,I,0.14714714714714713,13.15853982854968,fast,0.125
148,5,I,0.14814814814814814,13.152610931597835,fast,0.125
149,5,I,0.14914914914914915,13.146686362010932,fast,0.125
150,5,I,0.15015015015015012,13.140766354149315,fast,0.175
151,5,I,0.15115115115115113,13.134851142192886,fast,0.175
152,5,I,0.15215215215215214,13.128940960131827,fast,0.175
153,5,I,0.15315315315315314,13.123036041757352,fast,0.175
154,5,I,0.15415415415415412,13.117136620652461,fast,0.175
155,5,I,0.15515515515515513,13.111242930182694,fast,0.175
156,5,I,0.15615615615615616,13.1053552034869,fast,0.175
157,5,I,0.15715715715715714,13.099473673468019,fast,0.175
158,5,I,0.15815815815815815,13.093598572783868,fast,0.175
159,5,I,0.15915915915915915,13.087730133837935,fast,0.175
160,5,I,0.16016016016016013,13.081868588770188,fast,0.175
161,5,I,0.16116116116116114,13.07601416944789,fast,0.175
162,5,I,0.16216216216216214,13.07016710745643,fast,0.175
163,5,I,0.16316316316316315,13.064327634090159,fast,0.175
164,5,I,0.16416416416416413,13.05849598034324,fast,0.175
165,5,I,0.16516516516516516,13.05267237690052,fast,0.175
166,5,I,0.16616616616616617,13.04685705412839,fast,0.175
167,5,I,0.16716716716716715,13.04105024206568,fast,0.175
168,5,I,0.16816816816816815,13.035252170414562,fast,0.175
169,5,I,0.16916916916916916,13.029463068531461,fast,0.175
170,5,I,0.17017017017017017,13.023683165417976,fast,0.175
171,5,I,0.17117117117117114,13.017912689711832,fast,0.175
172,5,I,0.17217217217217215,13.012151869677828,fast,0.175
173,5,I,0.17317317317317316,13.006400933198814,fast,0.175
174,5,I,0.17417417417417413,13.000660107766667,fast,0.175
175,5,I,0.17517517517517517,12.9949296204733,fast,0.175
176,5,I,0.17617617617617617,12.989209698001678,fast,0.175
177,5,I,0.17717717717717715,12.98350056661685,fast,0.175
178,5,I,0.17817817817817816,12.977802452156997,fast,0.175
179,5,I,0.17917917917917917,12.972115580024495,fast,0.175
180,5,I,0.18018018018018017,12.96644017517701,fast,0.175
181,5,I,0.18118118118118115,12.960776462118588,fast,0.175
182,5,I,0.18218218218218216,12.955124664890782,fast,0.175
183,5,I,0.18318318318318316,12.949485007063783,fast,0.175
184,5,I,0.18418418418418417,12.943857711727583,fast,0.175
185,5,I,0.18518518518518517,12.938243001483142,fast,0.175
186,5,I,0.18618618618618618,12.93264109843359,fast,0.175
187,5,I,0.18718718718718716,12.927052224175437,fast,0.175
188,5,I,0.18818818818818817,12.921476599789811,fast,0.175
189,5,I,0.18918918918918917,12.915914445833705,fast,0.175
190,5,I,0.19019019019019018,12.91036598233126,fast,0.175
191,5,I,0.19119119119119116,12.90483142876506,fast,0.175
192,5,I,0.19219219219219216,12.89931100406745,fast,0.175
193,5,I,0.19319319319319317,12.893804926611866,fast,0.175
194,5,I,0.19419419419419418,12.888313414204214,fast,0.175
195,5,I,0.19519519519519518,12.882836684074242,fast,0.175
196,5,I,0.1961961961961962,12.877374952866948,fast,0.175
197,5,I,0.1971971971971972,12.871928436634015,fast,0.175
198,5,I,0.19819819819819817,12.866497350825261,fast,0.175
199,5,I,0.19919919919919918,12.861081910280117,fast,0.175
200,5,I,0.20020020020020018,12.855682329219126,fast,0.225
201,5,I,0.20120120120120116,12.850298821235478,fast,0.225
202,5,I,0.20220220220220217,12.844931599286548,fast,0.225
203,5,I,0.2032032032032032,12.839580875685483,fast,0.225
204,5,I,0.20420420420420418,12.834246862092794,fast,0.225
205,5,I,0.2052052052052052,12.828929769507994,fast,0.225
206,5,I,0.2062062062062062,12.82362980826124,fast,0.225
207,5,I,0.2072072072072072,12.81834718800502,fast,0.225
208,5,I,0.20820820820820818,12.813082117705864,fast,0.225
209,5,I,0.20920920920920918,12.807834805636062,fast,0.225
210,5,I,0.2102102102102102,12.802605459365443,fast,0.225
211,5,I,0.21121121121121117,12.797394285753155,fast,0.225
212,5,I,0.2122122122122122,12.79220149093948,fast,0.225
213,5,I,0.2132132132132132,12.787027280337686,fast,0.225
214,5,I,0.2142142142142142,12.781871858625896,fast,0.225
215,5,I,0.2152152152152152,12.776735429739002,fast,0.225
216,5,I,0.2162162162162162,12.77161819686058,fast,0.225
