kind,N,Filter,phase bin,p_16,p_50,p_84
fast,5,I,0.0245,13.763019143011645,13.844524909889282,13.919643461453505
fast,5,I,0.07500000000000001,13.489274473324787,13.584358941386414,13.6759088653795
fast,5,I,0.125,13.193238951443872,13.292576101334982,13.391578051492829
fast,5,I,0.175,12.903948160813442,12.997794864119983,13.094538588893332
fast,5,I,0.225,12.649776152080246,12.728927791168704,12.81392452895373
fast,5,I,0.275,12.455652476002074,12.512345745959163,12.577258896280386
fast,5,I,0.32499999999999996,12.340617057786265,12.369291402364802,12.40775419146202
fast,5,I,0.375,12.313686296491522,12.316275794571315,12.322035676121713
fast,5,I,0.42500000000000004,12.328510743700264,12.351301832044435,12.384078617185342
fast,5,I,0.475,12.42654431039492,12.478131047865215,12.538312823472841
fast,5,I,0.525,12.606521105078613,12.681843791369701,12.763527843619727
fast,5,I,0.575,12.850788748716163,12.942459628030441,13.03763426933847
fast,5,I,0.625,13.135389124712049,13.23441698731613,13.33374735400788
fast,5,I,0.675,13.43240822493281,13.529080277747994,13.62282390671522
fast,5,I,0.725,13.712713995176692,13.797548506286361,13.876510889572794
fast,5,I,0.775,13.948813648327498,14.013489928678357,14.069926323847936
fast,5,I,0.825,14.117550195870034,14.155724704244198,14.18409974969287
fast,5,I,0.875,14.20237371813525,14.207733094748512,14.210352679189162
fast,5,I,0.925,14.138797923318617,14.171869507433229,14.194964603871282
fast,5,I,0.975,13.98376593841925,14.044196029883757,14.096049549503256
fast,5,b'zg',0.0245,13.833758211015114,13.956179494932186,14.077170582296468
fast,5,b'zg',0.07500000000000001,13.471187260876457,13.58985143212421,13.711102125596714
fast,5,b'zg',0.125,13.143391776404913,13.246660084929808,13.356277944692298
fast,5,b'zg',0.175,12.882522403177218,12.960266146956267,13.04749969800357
fast,5,b'zg',0.225,12.714165578950407,12.758759541437144,12.815052793479635
fast,5,b'zg',0.275,12.65518535943098,12.661904321760368,12.681735952874721
fast,5,b'zg',0.32499999999999996,12.660625080814562,12.679200185107863,12.710346932437151
fast,5,b'zg',0.375,12.753790761543227,12.808950728695672,12.87525964841144
fast,5,b'zg',0.42500000000000004,12.95209517308659,13.038429835362642,13.133397254664777
fast,5,b'zg',0.475,13.236088337779119,13.34512986917349,13.459441249015669
fast,5,b'zg',0.525,13.577915803632365,13.69896925624284,13.82141277452013
fast,5,b'zg',0.575,13.944050648453489,14.065242928125052,14.183809151072229
fast,5,b'zg',0.625,14.298581847878888,14.408026244101663,14.511086028573295
fast,5,b'zg',0.675,14.606736479526802,14.693698530845381,14.771143627153085
fast,5,b'zg',0.725,14.838290300494945,14.894240645697788,14.93847512906225
fast,5,b'zg',0.775,14.970532183929672,14.989983133882157,14.996235148779956
fast,5,b'zg',0.825,14.940015829687727,14.971535436497984,14.990491658527624
fast,5,b'zg',0.875,14.774073914303646,14.840706929843602,14.89621107073926
fast,5,b'zg',0.925,14.51511849553323,14.61032945922512,14.696937594202861
fast,5,b'zg',0.975,14.188548287768427,14.302998773387092,14.412216253851561
fast,5,b'zr',0.0245,13.504412890820301,13.5171861832202,13.5297684692687
fast,5,b'zr',0.07500000000000001,13.542036069124272,13.553824936813761,13.565021061062922
fast,5,b'zr',0.125,13.575513363338063,13.585161537470283,13.593873368189744
fast,5,b'zr',0.175,13.601561273010562,13.608122446995935,13.61349551548477
fast,5,b'zr',0.225,13.6176249822533,13.62045562685069,13.621962934938306
fast,5,b'zr',0.275,13.6184451300527,13.620951421279267,13.622128939702765
