,N,P
0,5,0.17192888653942476
1,5,0.12884370939841794
2,5,0.13505010785406713
3,5,0.43314121661039917
4,5,3.2713562159789875
5,5,1.0564813105082236
6,5,0.12768193593661814
7,5,0.75885364188548
8,5,0.1760713909810078
9,5,0.5795639582584656
10,5,0.10852775699911271
11,5,0.19552484608350654
12,5,1.0193746437993263
13,5,0.17088459205578643
14,5,3.2818171826490286
15,5,0.1951996894342991
16,5,0.1188490274933669
17,5,0.10578385065932554
18,5,0.11149603206566658
19,5,0.3192253012681779
20,5,1.8616681099400483
21,5,0.3220194923682066
22,5,0.2631246564608145
23,5,0.2855253054374525
24,5,2.3358682535906614
25,5,1.4417314062705708
26,5,1.5287914165041343
27,5,0.10418481300299286
28,5,0.764121164407204
29,5,0.20444850369036802
30,10,3.270071270912387
31,10,0.19404918085215553
32,10,3.270493427974161
33,10,3.2734506148831266
34,10,3.270129626106796
35,10,1.4359269084529445
36,10,3.270452685742635
37,10,3.272416176806427
38,10,0.1252320484496589
39,10,0.11268221724581448
40,10,3.271414246011803
41,10,0.1734010290589613
42,10,3.2703973124751453
43,10,0.1858551885403749
44,10,3.268637674086419
45,10,3.2705124452108403
46,10,3.2727707556022896
47,10,1.435369786020556
48,10,0.7641675108336875
49,10,3.2701262049328212
50,10,0.7641694587935265
51,10,0.7642292907958531
52,10,3.2694681888180597
53,10,3.2707593772855263
54,10,3.270995856349627
55,10,3.270516098139186
56,10,3.2677249554930086
57,10,3.270273202438813
58,10,0.764160381600588
59,10,3.2704481627984165
60,15,3.2695914167601328
61,15,3.2714318957084187
62,15,3.27120088420648
63,15,3.2705359751870557
64,15,3.269384195315125
65,15,3.2707826383024305
66,15,3.2693313649867477
67,15,3.266960550101642
68,15,3.2702763398153936
69,15,3.2689355674260083
70,15,3.2698039991672454
71,15,1.434038397856923
72,15,3.271213770750061
73,15,0.7454250397255797
74,15,3.268975801251699
75,15,3.2696218367958787
76,15,3.269698564445398
77,15,1.4348533953663642
78,15,3.2700079875498496
79,15,1.4349885714885406
80,15,3.2701818586888267
81,15,3.2712725204158897
82,15,3.271267203926769
83,15,3.2707995747838647
84,15,3.2699281486475513
85,15,3.2689768386509366
86,15,3.2689590745710535
87,15,3.269734904920448
88,15,3.2708523931875826
89,15,3.270039567045579
90,20,3.271365890298878
91,20,3.270437561015378
92,20,3.270015926302433
93,20,0.7642088351893841
94,20,3.270186047660137
95,20,3.2707713298432464
96,20,3.270268789704275
97,20,3.2712339726704895
98,20,3.2707657652418085
99,20,3.2704983803371266
100,20,3.2696854939153823
101,20,3.2701951723894367
102,20,3.270445788566406
103,20,3.269064367472752
104,20,3.270199769058718
105,20,3.269983838904443
106,20,3.2718028506860612
107,20,3.27021901220353
108,20,3.270093965059046
109,20,3.270052272094627
110,20,3.27037500787753
111,20,3.2701976954534975
112,20,3.2703395686923997
113,20,3.2691125144050988
114,20,3.2692994039001926
115,20,3.270060872814262
116,20,0.7642123892550836
117,20,3.269974335359225
118,20,3.270201939602956
119,20,3.2703713148867513
120,25,3.270860931424431
121,25,3.2700963724636893
122,25,3.2702527058620836
123,25,3.2689230912036606
124,25,3.2693683084041667
125,25,3.2703857934723826
126,25,3.271635440727382
127,25,3.2701815548850375
128,25,3.2697605172190674
129,25,1.4346976748889873
130,25,3.2704297526897212
131,25,3.2702926218188093
132,25,3.2701210386320336
133,25,3.2685899088010864
134,25,3.2703728459346513
135,25,3.27034796749463
136,25,3.2706594315741992
137,25,3.27007877998559
138,25,3.269835463222215
139,25,3.2701458217225383
140,25,3.2714359879966635
141,25,3.270215544907194
142,25,3.2697217898810664
143,25,3.2677493026646993
144,25,3.270213290569978
145,25,3.270224501397157
146,25,3.2706714570249837
147,25,1.4349270030214754
148,25,3.2702130800787326
149,25,3.2703632315764883
150,30,3.2704331412526897
151,30,3.2701992864919838
152,30,3.2702225219241154
153,30,3.27022532384319
154,30,3.2702122878280493
155,30,3.2702900825165258
156,30,3.2700419149947018
157,30,3.2694872073766406
158,30,3.2702081138516244
159,30,3.2701224269920983
160,30,3.2703249645471604
161,30,3.2704616627145753
162,30,3.2701045850220476
163,30,3.270116844613362
164,30,3.270476248409294
165,30,3.2700111370340177
166,30,3.2693860266669055
167,30,3.2702344726084247
168,30,3.2704358201438697
169,30,3.2703408494297492
170,30,3.269699551736775
171,30,3.270276966276238
172,30,3.2702079206237724
173,30,3.270121687275015
174,30,3.269525486667125
175,30,3.2702120557536856
176,30,3.2699668610922608
177,30,3.270448087685955
178,30,3.2695784940788384
179,30,3.270537191831564
180,35,3.2715197352269803
181,35,3.270227546116244
182,35,3.2692096220444986
183,35,3.270160456405975
184,35,3.2699987097358414
185,35,3.2715305081456347
186,35,3.270936662775361
187,35,3.27086238701705
188,35,3.2701285777534665
189,35,3.270420048592989
190,35,3.270795503217966
191,35,3.2701210386320336
192,35,3.2702741620248834
193,35,3.27010666832618
194,35,3.2702251537160514
195,35,3.2699224327902425
196,35,3.267751073767289
197,35,3.270174537294475
198,35,3.2702763398153936
199,35,3.269880767281425
200,35,3.2704276746545666
201,35,3.270389056340578
202,35,3.2699022260545263
203,35,3.2702213033718768
204,35,3.2704838484655334
205,35,3.270236689427635
206,35,3.270353562465315
207,35,3.270545266366577
208,35,3.269760162860811
209,35,3.270177338030326
210,40,3.270234260659401
211,40,3.2703791346389877
212,40,3.270223083575401
213,40,3.2708202128345065
214,40,3.2699447358746356
215,40,3.271156880185634
216,40,3.270067272521924
217,40,3.270138255593342
218,40,3.269332848905779
219,40,3.270511788790513
220,40,3.2714172109345028
221,40,3.270003725719419
222,40,3.2702661186490807
223,40,3.2700530599006408
224,40,3.2701563486174394
225,40,3.2702527058620836
226,40,3.27025988072468
227,40,3.2702094857602817
228,40,3.270243125786082
229,40,3.2699015639587428
230,40,3.27004002508783
231,40,3.2701831074016137
232,40,3.270187141708791
233,40,3.269509897330056
234,40,3.2701434075649574
235,40,3.2699015639587428
236,40,3.2704367495840088
237,40,3.2702305194230057
238,40,3.2703375666739607
239,40,3.270059539269243
240,45,3.267828445551797
241,45,3.270238064260926
242,45,3.2705485285481344
243,45,3.270344406851865
244,45,3.2702870842598672
245,45,3.2705858739703264
246,45,3.2703249645471604
247,45,3.2702685340162825
248,45,3.2701692897723453
249,45,3.2703290972942427
250,45,3.2702732068706357
251,45,3.2702213033718768
252,45,3.269996802272016
253,45,3.270159635737423
254,45,3.270179003318973
255,45,3.2702643577068082
256,45,3.2702403339279518
257,45,3.2703971375332537
258,45,3.270234260659401
259,45,3.2700546639687236
260,45,3.2708794044718816
261,45,3.270186216109557
262,45,3.2703811184459526
263,45,3.2704286322944647
264,45,3.2699878868757364
265,45,3.270203393507304
266,45,3.2702335563617533
267,45,3.27026407318187
268,45,3.270370961259386
269,45,3.270451309632982
270,50,3.2705405083688697
271,50,3.2701298560783227
272,50,3.2703544959749116
273,50,3.270198763012983
274,50,3.2700747265710874
275,50,3.27067467133231
276,50,3.270367430763524
277,50,3.2703216531171653
278,50,3.2694285285649594
279,50,3.2701565184744004
280,50,3.2700616206516506
281,50,3.269202003514056
282,50,3.2702639553194466
283,50,3.2700516575505363
284,50,3.2702815624294943
285,50,3.27025390959569
286,50,3.270108754430229
287,50,3.2702905054778824
288,50,3.2706594315741992
289,50,3.270073162813258
290,50,3.270213290569978
291,50,3.2700917361437227
292,50,3.270315692222974
293,50,3.2703206765107478
294,50,3.2701734196771284
295,50,3.270194019312606
296,50,3.270031159509658
297,50,3.2703073020008695
298,50,3.270121687275015
299,50,3.270511788790513
300,55,3.270327265544634
301,55,3.270182432125367
302,55,3.2701444948632403
303,55,3.270186047660137
304,55,3.2701565184744004
305,55,3.2701600399802717
306,55,3.2703286267046376
307,55,3.2702345922045546
308,55,3.2700778108397257
309,55,3.2700340403282517
310,55,3.269812482173538
311,55,3.2701992864919838
312,55,3.270162324009765
313,55,3.270290958082049
314,55,3.270131624219744
315,55,3.2702860908363043
316,55,3.2693935462056736
317,55,3.270108754430229
318,55,3.2702305194230057
319,55,3.2702601755424894
320,55,3.2702005930684614
321,55,3.2701692897723453
322,55,3.269115526997604
323,55,3.270262873643294
324,55,3.2703076195673426
325,55,3.270160486423152
326,55,3.270247218049605
327,55,3.2701434075649574
328,55,3.270317682248571
329,55,3.2701824321253663
330,60,3.2702469388527673
331,60,3.2700778108397257
332,60,3.2704331808157607
333,60,3.2701734196771284
334,60,3.2702510686696846
335,60,3.270138255593342
336,60,3.270182432125367
337,60,3.2702251537160514
338,60,3.27040192901057
339,60,3.2702345922045546
340,60,3.2702094857602817
341,60,3.2702603352139517
342,60,3.270220169774022
343,60,3.270280077848201
344,60,3.270280077848201
345,60,3.2702175434581355
346,60,3.270204230132513
347,60,3.2701819029736074
348,60,3.2702088496004458
349,60,3.2702860908363043
350,60,3.2700277730923264
351,60,3.2702731331380552
352,60,3.2700745846359403
353,60,3.2704156734666223
354,60,3.2701953891048605
355,60,3.270351519040724
356,60,3.2701661245465683
357,60,3.2701298560783227
358,60,3.270286078628645
359,60,3.2703633113046022
360,65,3.2701168446133617
361,65,3.2702308986155173
362,65,3.270414801781899
363,65,3.2700022638527324
364,65,3.2704412140349537
365,65,3.270384494575778
366,65,3.2702898235665874
367,65,3.2696567019706446
368,65,3.270247218049605
369,65,3.2701734196771284
370,65,3.2702305194230057
371,65,3.2700820246718694
372,65,3.2706359875076325
373,65,3.2701834137444097
374,65,3.270311822448645
375,65,3.2703803656544563
376,65,3.270186216109557
377,65,3.2702120557536856
378,65,3.270234260659401
379,65,3.2700963724636893
380,65,3.270277077797483
381,65,3.2701600399802717
382,65,3.2702067832958854
383,65,3.270108754430229
384,65,3.2702860908363043
385,65,3.270035692991437
386,65,3.2701643104475346
387,65,3.2702474636585914
388,65,3.2702898235665874
389,65,3.27025988072468
390,70,3.27063255025598
391,70,3.2699956386929747
392,70,3.2699879602899555
393,70,3.2701600399802717
394,70,3.270155879318874
395,70,3.2701838107114467
396,70,3.2702251537160514
397,70,3.2702510686696846
398,70,3.2702251537160514
399,70,3.2702088496004458
400,70,3.2705530132990286
401,70,3.2701471093112713
402,70,3.2701546964219266
403,70,3.2700660948173685
404,70,3.2701444948632403
405,70,3.269823247858829
406,70,3.270286078628645
407,70,3.270238087481543
408,70,3.270160486423152
409,70,3.270328626704637
410,70,3.2703803656544563
411,70,3.2704920405380253
412,70,3.270243125786082
413,70,3.2700630980190435
414,70,3.270299048637237
415,70,3.2701600399802717
